"","Hospitais","Hospitais.com.até.30.leitos","Hospitais.com.31.a.50.leitos","Hospitais.com.51.a.150.leitos","Hospitais.com.151.a.500.leitos","Hospitais.que.atendem.apenas.ao.SUS","Hospitais.com.até.30.leitos.que.atendem.apenas.ao.SUS","Hospitais.com.31.a.50.leitos.que.atendem.apenas.ao.SUS","Hospitais.com.51.a.150.leitos.que.atendem.apenas.ao.SUS","Hospitais.que.atendem.somente.plano.de.saúde.particular","Hospitais.com.até.30.leitos.que.atendem.somente.plano.de.saúde.particular","Hospitais.com.31.a.50.leitos.que.atendem.somente.plano.de.saúde.particular","Hospitais.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.com.até.30.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.com.31.a.50.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.com.51.a.150.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.da.administração.pública","Hospitais.da.administração.pública.com.até.30.leitos","Hospitais.da.administração.pública.com.31.a.50.leitos","Hospitais.da.administração.pública.com.51.a.150.leitos","Hospitais.da.administração.pública.que.atendem.apenas.ao.SUS","Hospitais.da.administração.pública.com.até.30.leitos.que.atendem.apenas.ao.SUS","Hospitais.da.administração.pública.com.31.a.50.leitos.que.atendem.apenas.ao.SUS","Hospitais.da.administração.pública.com.51.a.150.leitos.que.atendem.apenas.ao.SUS","Hospitais.de.entidades.empresariais","Hospitais.de.entidades.empresariais.com.até.30.leitos","Hospitais.de.entidades.empresariais.com.31.a.50.leitos","Hospitais.de.entidades.empresariais.com.51.a.150.leitos","Hospitais.de.entidades.empresariais.que.atendem.somente.plano.de.saúde.particular","Hospitais.de.entidades.empresariais.com.até.30.leitos.que.atendem.somente.plano.de.saúde.particular","Hospitais.de.entidades.empresariais.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.de.entidades.sem.fins.lucrativos","Hospitais.de.entidades.sem.fins.lucrativos.com.até.30.leitos","Hospitais.de.entidades.sem.fins.lucrativos.com.31.a.50.leitos","Hospitais.de.entidades.sem.fins.lucrativos.com.51.a.150.leitos","Hospitais.de.entidades.sem.fins.lucrativos.que.atendem.apenas.ao.SUS","Hospitais.de.entidades.sem.fins.lucrativos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.de.entidades.sem.fins.lucrativos.com.até.30.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.de.entidades.sem.fins.lucrativos.com.31.a.50.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Hospitais.de.entidades.sem.fins.lucrativos.com.51.a.150.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular","Mamógrafos.por.100.mil.habitantes","Mamógrafos.disponíveis.ao.SUS.por.100.mil.habitantes","Equipamentos.de.ressonância.magnética.por.100.mil.habitantes","Equipamentos.de.ressonância.magnética.disponíveis.ao.SUS.por.100.mil.habitantes","Equipamentos.de.ultrassonografia.por.100.mil.habitantes","Equipamentos.de.ultrassonografia.disponíveis.ao.SUS.por.100.mil.habitantes","Equipamentos.para.diálise.por.100.mil.habitantes","Equipamentos.para.diálise.disponíveis.ao.SUS.por.100.mil.habitantes","Enfermeiros.por.100.mil.habitantes","Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes","Cirurgiões.dentistas.por.100.mil.habitantes","Cirurgiões.dentistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.especialistas.por.100.mil.habitantes","Médicos.Cardiologistas.por.100.mil.habitantes","Médicos.Clínicos.ou.Generalistas.Alopatas.por.100.mil.habitantes","Médicos.de.Saúde.da.Família.ou.Médicos.Comunitários.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.por.100.mil.habitantes","Médicos.em.Radiologia.e.Diagnóstico.por.Imagem.por.100.mil.habitantes","Médicos.Endocrinologistas..Metabologistas.ou.Diabetólogos.por.100.mil.habitantes","Médicos.Gastroenterologistas.por.100.mil.habitantes","Médicos.Ginecologistas.e.Obstetras.ou.Mastologistas.e.Cirurgiões.de.Mama.por.100.mil.habitantes","Médicos.Nefrologistas.por.100.mil.habitantes","Médicos.Oftalmologistas.e.Cirurgiões.Oftalmológicos.por.100.mil.habitantes","Médicos.Ortopedistas.e.Traumatologistas.por.100.mil.habitantes","Médicos.Otorrinolaringologistas.e.Cirurgiões.Otorrinolaringológicos.por.100.mil.habitantes","Médicos.Pediatras..Hebiatras.e.Neonatologistas.por.100.mil.habitantes","Médicos.Psiquiatras.e.Médicos.Psicanalistas.por.100.mil.habitantes","Médicos.Neurologistas.por.100.mil.habitantes","Médicos.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Cardiologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Clínicos.ou.Generalistas.Alopatas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.de.Saúde.da.Família.ou.Médicos.Comunitários.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.em.Radiologia.e.Diagnóstico.por.Imagem.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Endocrinologistas..Metabologistas.ou.Diabetólogos.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Gastroenterologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Ginecologistas.Obstetras.ou.Mastologistas.e.Cirurgiões.de.Mama.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Nefrologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Oftalmologistas.e.Cirurgiões.Oftalmológicos.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Ortopedistas.e.Traumatologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Otorrinolaringologistas.e.Cirurgiões.Otorrinolaringológicos.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Pediatras..Hebiatras.e.Neonatologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Psiquiatras.e.Médicos.Psicanalistas.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.Neurologistas.disponíveis.ao.SUS.por.100.mil.habitantes","Tomógrafos.computadorizados.por.100.mil.habitantes","Tomógrafos.computadorizados.disponíveis.ao.SUS.por.100.mil.habitantes","Leitos.de.UTI.Adulto.Coronariana.por.100.mil.habitantes","Leitos.de.UTI.Adulto.Coronariana.disponíveis.ao.SUS.por.100.mil.habitantes","Leitos.por.1000.habitantes","Leitos.disponíveis.ao.SUS.por.1000.habitantes","Médicos.por.1000.habitantes","Médicos.disponíveis.ao.SUS.por.1000.habitantes","DESEMPENHO"
"43027",6,1,1,4,1,0,0,0,0,1,0,1,5,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,1,0,4,0,6,1,0,4,4.8,2.6,0.53,0.53,27,11.1,22.2,22.2,136.4,123.2,69.8,32.8,184.6,9,111.6,10,0.5,8.5,0,0.5,3.7,2.1,6.9,2.6,1.1,22.7,4.2,2.1,167.1,5.8,103.1,10,0.5,5.8,0,0.5,2.6,1.6,6.3,2.6,1.1,21.7,4.2,2.1,4.2,3.2,10.6,7.4,2.6,1.6,2.1,1.9,0.176620973612603
"43028",8,0,4,4,1,1,0,0,1,0,0,0,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,4,1,8,0,4,3,3.2,2.1,0.88,0.59,22.6,12.6,20.9,16.2,137.2,126.6,107.8,38.2,186.8,10,126.3,7.3,0,4.4,0.6,0.3,5.9,2.1,2.4,2.6,1.2,19.1,5.6,3.8,169.2,7.9,119.3,6.5,0,3.8,0.3,0,3.8,2.1,1.8,2.6,0.3,16.5,4.7,2.9,3.5,1.8,11.8,9.4,1.9,1.3,2.3,2.1,0.29736896414999
"43029",14,3,9,2,0,0,0,0,0,0,0,0,14,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,9,2,0,14,3,9,2,3,2.2,0.43,0.43,28.5,14.3,23.3,23.3,179,160.8,96.4,40.6,201.9,10.8,129.7,13,0.4,5.6,1.3,0,8.2,2.6,4.3,0.4,0.4,19,6.9,7.3,172.5,10.4,107.2,12.1,0.4,4.8,0.9,0,6.9,2.6,3.5,0.4,0,17.7,5.6,6.5,3.5,2.6,13,8.6,2.6,1.9,2.7,2.3,0.456444082132002
"43030",4,0,2,2,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,4,0,2,2,2.4,1.6,3.19,3.19,26.3,9.6,0.8,0.8,130.7,127.5,66.1,27.1,137.8,4,92.4,4.8,0.8,3.2,0,0,4.8,2.4,4,1.6,0.8,16.7,1.6,8,125.1,0.8,85.3,4.8,0.8,3.2,0,0,4.8,2.4,3.2,1.6,0.8,15.9,1.6,7.2,4,3.2,8,5.6,2,1.4,1.7,1.5,0.536270422184589
"50001",46,22,11,11,2,14,9,2,1,13,8,1,19,5,8,6,13,8,3,1,12,8,2,1,11,6,0,4,10,6,0,23,8,8,6,1,20,5,8,6,3.1,1,2.01,0.2,27.7,8.8,20.7,20.2,183.5,153.2,70.4,40.5,199.6,12.4,96.4,12.2,1.9,9.9,1.8,2.1,12.6,3.6,9.4,7.5,3.3,21.5,4.5,5.3,168.7,8.4,86.6,12.2,1.9,5.9,0.6,0.5,10.6,3.5,7.8,5.9,2,19.2,3,4.1,3,0.8,25.3,12.7,1.9,1.3,2.8,2.4,0.244442470363198
"50002",3,3,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,0,1,0,0,0,2.5,1.7,1.7,0.85,21.2,7.6,22.1,20.4,129,97.6,85.7,53.5,174,5.1,131.6,14.4,0,4.2,0,0,0,1.7,4.2,0.8,0,10.2,1.7,1.7,139.2,4.2,101.9,14.4,0,3.4,0,0,0,1.7,2.5,0.8,0,9.3,0.8,0.8,2.5,0.8,37.4,14.4,1.7,1.2,1.9,1.4,0.0689310116985645
"50003",42,22,8,12,0,22,13,3,6,6,4,2,14,5,3,6,18,12,2,4,18,12,2,4,5,3,0,2,3,3,1,19,7,6,6,3,13,5,3,5,2.8,1.8,1.77,0.71,24.1,11.9,18.7,18.4,159.9,150.6,75.8,35.9,142.4,7.2,84.3,14.1,0.8,3.3,0.7,1.1,5.8,1.7,4.8,3.2,0.5,11.6,2.2,3.3,112.8,5.2,70.7,14.1,0.8,2.7,0.2,0.5,2.8,1.4,2.1,1.7,0.2,8.4,0.9,2.1,3.1,1.2,13.7,9,1.8,1.3,1.7,1.3,0.0571259681282811
"50004",12,5,5,2,0,5,3,2,0,3,1,2,4,1,1,2,4,3,1,0,4,3,1,0,1,1,0,0,1,1,0,7,1,4,2,1,4,1,1,2,5.1,3,1.69,0.67,42.1,15.8,16.9,16.5,164.1,149.3,99.1,43.1,179,8.8,95.7,15.8,1.3,6.7,1.3,1,9.8,2,8.8,5.4,2.4,15.5,4.4,5.1,136.5,5.7,76.5,15.8,1,4.7,1,0.3,7.1,2,4,2.4,1.3,11.5,3,3.7,5.4,2.4,15.2,6.7,1.8,1.2,2,1.5,0.142873549867392
"51001",7,3,2,2,0,4,1,2,1,2,2,0,1,0,0,1,4,1,2,1,4,1,2,1,3,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,4.5,3.6,3.6,2.7,33.3,27,3.6,3.6,132.2,126,57.6,20.7,112.5,3.6,54,13.5,0.9,6.3,1.8,0.9,9.9,0,5.4,6.3,1.8,7.2,0.9,1.8,93.6,2.7,47.7,13.5,0.9,6.3,0.9,0.9,8.1,0,1.8,6.3,0.9,2.7,0.9,1.8,4.5,2.7,9,0,2.7,2,1.4,1.1,0.093006739891282
"51002",27,8,4,11,5,10,3,0,3,7,3,2,10,2,2,6,8,3,0,1,8,3,0,1,15,5,3,7,7,3,6,5,0,1,3,0,5,0,1,3,3.5,1.1,2.46,0.76,27.7,10.1,23.1,21.4,221.8,186.5,84.8,34.3,202.9,11.7,85.7,12,1.6,15,2.9,2.8,15.8,2.6,10,9.9,3.1,25.4,4.3,6.5,133.4,5.9,64.4,11.8,1.3,10.7,1.2,0.7,7.9,2.1,4.6,4.7,1.2,14.8,1.9,3.2,4.6,2.1,44.6,20.6,2.1,1.5,2.9,1.9,0.570868188548825
"51003",5,4,1,0,0,4,3,1,0,1,1,0,0,0,0,0,4,3,1,0,4,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.2,1.1,0,0,23.5,12.3,0,0,100.5,92.7,57,24.6,72.6,2.2,39.1,13.4,0,1.1,1.1,1.1,4.5,0,1.1,6.7,0,1.1,1.1,2.2,57,1.1,30.2,13.4,0,1.1,0,0,3.4,0,0,5.6,0,1.1,1.1,1.1,3.4,2.2,0,0,1.2,1.1,0.8,0.6,0.106880803050937
